tag,name,facet_code,facet_name,description,parent,examples
infants,Infants,A,Demographics & Populations,Children under one year of age.,Age Groups,[]
children,Children,A,Demographics & Populations,"Pediatric populations, roughly ages 1 to 12.",Age Groups,[]
adolescents,Adolescents,A,Demographics & Populations,"Youth and teenagers, roughly ages 13 to 19.",Age Groups,[]
young-adults,Young Adults,A,Demographics & Populations,Adults roughly ages 20 to 34.,Age Groups,[]
adults,Adults,A,Demographics & Populations,"Working-age adults, roughly ages 35 to 64.",Age Groups,[]
older-adults,Older Adults,A,Demographics & Populations,Adults age 65 and older.,Age Groups,[]
american-indian,American Indian and Alaska Native,A,Demographics & Populations,"People with origins in the original peoples of North, Central, and South America who maintain tribal affiliation or community attachment, including Alaska Native peoples. Aligns with CHS and OMB American Indian or Alaska Native reporting.",Race & Ethnicity,[]
asian-populations,Asian or Asian American,A,Demographics & Populations,"People with origins in East Asia, Southeast Asia, or South Asia, including Asian American communities. Aligns with CHS Asian / Asian-American reporting. Use alongside Native Hawaiian or Pacific Islander when a publication covers both communities.",Race & Ethnicity,[]
black-populations,Black and African Populations,A,Demographics & Populations,"Black and African populations, including African American people and people with origins in any of the Black racial groups of Africa. Use when a publication is about these communities, not merely translated into a language they speak.",Race & Ethnicity,[]
hispanic-latino,"Hispanic, Latino, and Spanish-speaking Populations",A,Demographics & Populations,"Hispanic, Latino/Latina/Latinx, and Spanish-speaking populations, including people of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race. If a document is only translated into Spanish and is not about these communities, set Publication Language to Spanish instead of this tag.",Race & Ethnicity,[]
mena,Middle Eastern and North African (MENA),A,Demographics & Populations,People with origins in the Middle East or North Africa. Distinct from White in CHS and 2024 OMB (SPD 15) standards.,Race & Ethnicity,[]
pacific-islander,Native Hawaiian or Pacific Islander,A,Demographics & Populations,"People with origins in Hawaii, Guam, Samoa, or other Pacific Islands. Aligns with CHS Native Hawaiian or Other Pacific Islander reporting. Use alongside Asian or Asian American when a publication covers both.",Race & Ethnicity,[]
white-populations,White,A,Demographics & Populations,"White populations, including people with origins in Europe. Does not include Middle Eastern or North African communities, which have their own tag.",Race & Ethnicity,[]
multiracial,Two or More Races,A,Demographics & Populations,"People identifying with two or more races, matching CHS more-than-one-race reporting.",Race & Ethnicity,[]
statewide,Statewide,A,Demographics & Populations,Statewide figures covering all of Minnesota.,Geography,[]
twin-cities-metro,Twin Cities Metro,A,Demographics & Populations,The seven-county Twin Cities metropolitan area.,Geography,[]
greater-minnesota,Greater Minnesota,A,Demographics & Populations,Minnesota outside the Twin Cities metro.,Geography,[]
rural-communities,Rural Communities,A,Demographics & Populations,Rural and small-town communities.,Geography,[]
tribal-nations,Tribal Nations,A,Demographics & Populations,Tribal nations and reservation communities.,Geography,[]
county-level,County Level,A,Demographics & Populations,Data reported at the county level.,Geography,[]
immigrants-refugees,Immigrants Refugees,A,Demographics & Populations,"Immigrant, refugee, and newcomer communities.",Priority Populations,[]
veterans,Veterans,A,Demographics & Populations,Military veterans and their families.,Priority Populations,[]
lgbtq-populations,LGBTQ+ Populations,A,Demographics & Populations,"Lesbian, gay, bisexual, transgender, and queer people.",Priority Populations,[]
people-with-disabilities,People With Disabilities,A,Demographics & Populations,People living with physical or cognitive disabilities.,Priority Populations,[]
pregnant-people,Pregnant People,A,Demographics & Populations,People who are pregnant or postpartum.,Priority Populations,[]
uninsured-populations,Uninsured Populations,A,Demographics & Populations,People without health insurance coverage.,Priority Populations,[]
people-experiencing-homelessness,People Experiencing Homelessness,A,Demographics & Populations,People experiencing housing instability or homelessness.,Priority Populations,[]
healthcare-provider,Healthcare Provider,A,Demographics & Populations,"Materials written for clinicians, nurses, and other health care providers rather than the general public.",Audience,[]
cancer,Cancer,B,Health Conditions & Topics,"Cancer incidence, screening, treatment, and survivorship.",Chronic Disease,[]
cardiovascular-disease,Cardiovascular Disease,B,Health Conditions & Topics,"Heart disease, stroke, and hypertension.",Chronic Disease,[]
diabetes,Diabetes,B,Health Conditions & Topics,Type 1 and type 2 diabetes and prediabetes.,Chronic Disease,[]
asthma,Asthma,B,Health Conditions & Topics,Asthma and chronic respiratory conditions.,Chronic Disease,[]
obesity,Obesity,B,Health Conditions & Topics,"Obesity, nutrition, and physical activity.",Chronic Disease,[]
