facet_code,facet_name,tag,parent_category,description
A,Demographics & Populations,infants,Age Groups,Children under one year of age.
A,Demographics & Populations,children,Age Groups,"Pediatric populations, roughly ages 1 to 12."
A,Demographics & Populations,adolescents,Age Groups,"Youth and teenagers, roughly ages 13 to 19."
A,Demographics & Populations,young-adults,Age Groups,Adults roughly ages 20 to 34.
A,Demographics & Populations,adults,Age Groups,"Working-age adults, roughly ages 35 to 64."
A,Demographics & Populations,older-adults,Age Groups,Adults age 65 and older.
A,Demographics & Populations,american-indian,Race & Ethnicity,"People with origins in the original peoples of North, Central, and South America who maintain tribal affiliation or community attachment, including Alaska Native peoples. Aligns with CHS and OMB American Indian or Alaska Native reporting."
A,Demographics & Populations,asian-populations,Race & Ethnicity,"People with origins in East Asia, Southeast Asia, or South Asia, including Asian American communities. Aligns with CHS Asian / Asian-American reporting. Use alongside Native Hawaiian or Pacific Islander when a publication covers both communities."
A,Demographics & Populations,black-populations,Race & Ethnicity,"Black and African populations, including African American people and people with origins in any of the Black racial groups of Africa. Use when a publication is about these communities, not merely translated into a language they speak."
A,Demographics & Populations,hispanic-latino,Race & Ethnicity,"Hispanic, Latino/Latina/Latinx, and Spanish-speaking populations, including people of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race. If a document is only translated into Spanish and is not about these communities, set Publication Language to Spanish instead of this tag."
A,Demographics & Populations,mena,Race & Ethnicity,People with origins in the Middle East or North Africa. Distinct from White in CHS and 2024 OMB (SPD 15) standards.
A,Demographics & Populations,pacific-islander,Race & Ethnicity,"People with origins in Hawaii, Guam, Samoa, or other Pacific Islands. Aligns with CHS Native Hawaiian or Other Pacific Islander reporting. Use alongside Asian or Asian American when a publication covers both."
A,Demographics & Populations,white-populations,Race & Ethnicity,"White populations, including people with origins in Europe. Does not include Middle Eastern or North African communities, which have their own tag."
A,Demographics & Populations,multiracial,Race & Ethnicity,"People identifying with two or more races, matching CHS more-than-one-race reporting."
A,Demographics & Populations,statewide,Geography,Statewide figures covering all of Minnesota.
A,Demographics & Populations,twin-cities-metro,Geography,The seven-county Twin Cities metropolitan area.
A,Demographics & Populations,greater-minnesota,Geography,Minnesota outside the Twin Cities metro.
A,Demographics & Populations,rural-communities,Geography,Rural and small-town communities.
A,Demographics & Populations,tribal-nations,Geography,Tribal nations and reservation communities.
A,Demographics & Populations,county-level,Geography,Data reported at the county level.
A,Demographics & Populations,immigrants-refugees,Priority Populations,"Immigrant, refugee, and newcomer communities."
A,Demographics & Populations,veterans,Priority Populations,Military veterans and their families.
A,Demographics & Populations,lgbtq-populations,Priority Populations,"Lesbian, gay, bisexual, transgender, and queer people."
A,Demographics & Populations,people-with-disabilities,Priority Populations,People living with physical or cognitive disabilities.
A,Demographics & Populations,pregnant-people,Priority Populations,People who are pregnant or postpartum.
